date,personal_income
1997-01-01,860316.2
1997-04-01,873365.2
1997-07-01,889388.4
1997-10-01,907639.4
1998-01-01,938107.3
1998-04-01,949737.3
1998-07-01,967108.9
1998-10-01,983820.6
1999-01-01,1004995.5
1999-04-01,1018191.4
1999-07-01,1035402.1
1999-10-01,1064949.6
2000-01-01,1101562.4
2000-04-01,1121080.4
2000-07-01,1158115.6
2000-10-01,1161415.1
2001-01-01,1182400.2
2001-04-01,1177693.8
2001-07-01,1170156.3
2001-10-01,1165264.2
2002-01-01,1174659.1
2002-04-01,1184953.1
2002-07-01,1193836.4
2002-10-01,1207446.4
2003-01-01,1215893.0
2003-04-01,1233661.7
2003-07-01,1254855.0
2003-10-01,1269452.3
2004-01-01,1288175.1
2004-04-01,1309628.8
2004-07-01,1324715.1
2004-10-01,1352458.2
2005-01-01,1357135.3
2005-04-01,1381421.7
2005-07-01,1407566.7
2005-10-01,1433295.8
2006-01-01,1482238.1
2006-04-01,1492347.9
2006-07-01,1510549.2
2006-10-01,1529882.5
2007-01-01,1553525.0
2007-04-01,1571734.9
2007-07-01,1574648.7
2007-10-01,1590976.9
2008-01-01,1591475.0
2008-04-01,1609955.8
2008-07-01,1602266.6
2008-10-01,1575272.5
2009-01-01,1542063.0
2009-04-01,1541037.8
2009-07-01,1533140.3
2009-10-01,1547249.3
2010-01-01,1582060.4
2010-04-01,1607697.2
2010-07-01,1613533.6
2010-10-01,1652871.8
2011-01-01,1700226.8
2011-04-01,1706267.6
2011-07-01,1725332.9
2011-10-01,1729080.6
2012-01-01,1786135.4
2012-04-01,1808358.6
2012-07-01,1808445.3
2012-10-01,1905728.1
2013-01-01,1817215.5
2013-04-01,1848098.9
2013-07-01,1867393.2
2013-10-01,1896095.8
2014-01-01,1923713.3
2014-04-01,1960824.8
2014-07-01,2003994.1
2014-10-01,2034415.2
2015-01-01,2084189.7
2015-04-01,2117632.1
2015-07-01,2138781.8
2015-10-01,2161117.7
2016-01-01,2188444.1
2016-04-01,2202876.8
2016-07-01,2229957.3
2016-10-01,2252552.9
2017-01-01,2275859.5
2017-04-01,2303674.2
2017-07-01,2330495.9
2017-10-01,2363094.0
2018-01-01,2380758.2
2018-04-01,2415395.5
2018-07-01,2449813.4
2018-10-01,2481128.3
2019-01-01,2524160.5
2019-04-01,2555910.3
2019-07-01,2573734.6
2019-10-01,2615897.1
2020-01-01,2645899.5
2020-04-01,2819977.7
2020-07-01,2873658.5
2020-10-01,2822558.1
2021-01-01,3087766.5
2021-04-01,2960283.0
2021-07-01,2993208.6
2021-10-01,2983477.6
2022-01-01,2963583.8
2022-04-01,2980388.9
2022-07-01,3024918.6
2022-10-01,3104993.3
